연번,사업자명,사업자등록번호,업종명(대분류),소재지
8072,삼신,5068124682,제조업,경상북도 포항시 북구 청하면 용산길 196 (청하면)
8073,한민,3128639659,"수도, 하수 및 폐기물 처리, 원료 재생업",충남 아산시 둔포면 해위안길 82-10 
8074,원재산업,5158136367,제조업,경북 경산시 진량읍 공단11로2길 11 
8075,예승이엔지,1348671480,제조업,경기도 화성시  동탄산단7길 98-31 (방교동)
8076,광림정공,5148170396,제조업,대구 달성군 구지면 달성2차로 179 759-1 달성2차산업단지 15B 2
8077,에너젠,6088187265,제조업,경상남도 창원시 의창구  창원대로18번길 46 (팔용동) 1215호
8078,동광씨앤에스,1348197976,건설업,경기 시흥시 마유로 226 (정왕동) 비동412호 (파인힐)
8079,화인에프티,3078126410,제조업,충남 공주시 정안면 차령로 3524 (정안면)
8080,노바텍,1238609157,도매 및 소매업,경기도 용인시 기흥구 흥덕중앙로 120 11층 1111호 (유타워)
8081,이에스티,5148172467,제조업,대구광역시 달서구  성서로5길 112 (월암동)
8082,한솔생명과학,1298675617,제조업,경기도 성남시 중원구 상대원1동(상대원동) 442번지 2호 811호
8083,나인웨어,1148665437,"전문, 과학 및 기술 서비스업",서울 성동구 왕십리로 58 (성수동1가) 1011호
8084,에이티에스로,1298199012,제조업,"경기도 성남시 분당구  미금일로 85 (구미동, 한솔빌딩) 204호"
8085,위존,2148680965,도매 및 소매업,"서울특별시 송파구 법원로11길 7 12층 07호 (문정동,현대지식산업센터 C동)"
8086,라온시스템즈,3148631288,제조업,경기도 군포시  고산로148번길 17 (당정동) 군포IT밸리 B동 13층 1303호
8087,명지정보기술,4038163009,정보통신업,전라북도 전주시 완산구  홍산남로 16 (효자동2가) 4층
8088,토담,3178113116,제조업,경기 안성시 미양면 농공단지길 18 
8089,제이아이테크,4018153863,제조업,전라북도 군산시  중가도길 16 (오식도동)
8090,창성시트,3128618988,제조업,경기 파주시 파주읍 돈유2로 82 (주)창성시트 파주공장
8091,에스와이테크,1298676178,제조업,"경기 성남시 중원구 갈마치로 214 (상대원동, 에스와이빌딩)"
8092,디팜스,1388156093,제조업,"경기 안산시 상록구 안산테콤1길 2 (사사동, (주)디팜스)"
8093,세웅건업,6160653930,제조업,제주 제주시 선반로12길 17 (화북일동)
8094,우신식품,1278621003,제조업,경기 포천시 영중면 나삼2길 82 
8095,오토렉스,5058126504,제조업,울산광역시 북구  매곡산업6길 1 (매곡동)
8096,효원알앤씨,6208138518,제조업,울산광역시 남구 테크노산업로55번길 49-31 
8097,레드테이블,2068650534,정보통신업,서울 중구 명동3길 6 (명동1가)7층
8098,동인중공업,1078677594,제조업,"인천광역시 남동구  남동대로 91 (고잔동, A동)"
8099,한진케미칼,6108610731,제조업,울산 울주군 온산읍 화산로 110-24 (온산읍)
8100,삼주전자,5048185096,제조업,대구 북구 동북로 118 B L (산격동)
8101,중앙알엔티,1368123505,제조업,경기 김포시 대곶면 대곶남로 357-2 
8102,동경케미칼,6158186513,제조업,경남 김해시 한림면 안곡로 559-1 (동경산업)
8103,힘멜,1288167502,제조업,경기 파주시 월롱면 검바위길 87-39 (월롱면)
8104,범일정보,5028129666,정보통신업,대구 수성구 알파시티1로35길 5 (대흥동)
8105,엘에스케이,3118153269,제조업,"서울 영등포구 선유로13길 25 10층 16~18호(문래동6가,에이스하이테크시티2)"
8106,대웅기업,1398136993,제조업,"경기도 김포시 양촌읍 학운산단2로 53-33 (양촌읍, 1동)"
8107,신화에이치앤티,1258610591,제조업,충청남도 천안시 서북구 성환읍 신방로 47-0 (성환읍)
8108,소서스,4108637009,정보통신업,"광주광역시 북구  첨단연신로91번길 20-5 (신용동, , 402호) 401호"
8109,선경,4108153305,제조업,광주시 광산구 삼도동(도덕동) 503번지 1호
8110,휴코,3178126678,제조업,충북 청주시 흥덕구 강내면 (강내면) 사곡리 45-14
