연번,회사명,대표자명,업종,지역,확인서기간만료일
157,보현석재,"박성일, 한정만(각자대표)",건설,경기,2024-08-04
158,하이텔파이,성시선,기계금속,경기,2024-08-04
159,씨앤지하이테크,홍사문,기타,경기,2024-08-04
160,엘앤제이테크,임형민,정보통신,서울,2024-08-05
161, 한성정보시스템,한정희,S/W,강원,2024-08-05
162,신일전기,박두경,전기전자,경남,2024-08-05
163,영농조합법인예은축산,"김동례,이승노",바이오,대전,2024-08-06
164,오아이씨코리아,김일수,전기전자,인천,2024-08-06
165,이레에프에이,한승원,전기전자,경기,2024-08-06
166,포스트포나인즈,"민천기,김미미,엄현지",서비스,서울,2024-08-06
167,그린에코스,김윤관,환경,서울,2024-08-06
168,디지털포캐스트,김형진,서비스,경기,2024-08-06
169,모비젠,김태수,정보통신,경기,2024-08-06
170,레드소프트,조용현,정보통신,서울,2024-08-07
171,에스빌드,김정훈,건설,경기,2024-08-07
172,와이엘랜드,김병주,정보통신,경기,2024-08-07
173, 대운인텍,이상수,기계금속,전남,2024-08-07
174,피엘티,최규영,전기전자,전북,2024-08-07
175,소슬이엔지,한창용,기타,경기,2024-08-08
176,씰테크,황의식,화학,경기,2024-08-08
177,캠토,안광배,서비스,서울,2024-08-08
178, 백건준설,백도선,건설,전남,2024-08-08
179,광명하이테크,조용규,전기전자,경기,2024-08-08
180,누리봄,이준섭,정보통신,서울,2024-08-09
181,선광티앤에스,노광준,기타,서울,2024-08-09
182,씨이랩,이우영,S/W,서울,2024-08-09
183,제이디,박중건,기타,경남,2024-08-09
184,탑에이테크놀로지,김대유,기계금속,인천,2024-08-09
185, 트루윈,남용현,전기전자,대전,2024-08-09
186,다이아벨,"김삼종, 김경호(각자대표)",정보통신,경기,2024-08-09
187,신우에프에이,김동언,전기전자,서울,2024-08-09
188,엠피기술산업,조명자,화학,경기,2024-08-09
189,우진써보,김영석,전기전자,경기,2024-08-09
190,태성계전,차영두,전기전자,전남,2024-08-09
191,파워캅,탁원기,전기전자,경기,2024-08-09
192,백두환경산업,서원애,환경,경기,2024-08-09
193,보성파워텍,임재황,전기전자,충북,2024-08-09
194,버들시스템,유재신,전기전자,광주,2024-08-10
195,농업회사법인 비센 바이오 ,"안창기,손선환",바이오,충남,2024-08-10
196,밸류엔지니어링,황규태,기계금속,경기,2024-08-11
197,샤인테크놀러지,최상근,전기전자,경기,2024-08-11
198,에이에스티홀딩스,이동우,S/W,경기,2024-08-11
199,에이치디에너지,이창준,기계금속,경기,2024-08-11
200,와이에스몰드스틸,정기영,기계금속,경기,2024-08-11
201,유러스,이현우,기계금속,경기,2024-08-11
202,인투셀,박태교,바이오,대전,2024-08-11
203,자연그램,박주영,환경,경기,2024-08-11
204,자연물질연구소,강은진,화학,서울,2024-08-11
205,농업회사법인두산테크,김정업,기타,경북,2024-08-11
206,한국공간정보산업협동조합,박경열,서비스,서울,2024-08-11
207,빌트온,민병오,S/W,서울,2024-08-11
208,화인테크놀리지,서영옥,화학,경남,2024-08-11
209,동현,여원동,기타,대구,2024-08-11
210,에듀인컴,김정숙,S/W,서울,2024-08-11
211,선영종합엔지니어링,김영필,건설,경기,2024-08-11
212,이지데코,"김미선, 윤병일(각자대표)",기타,경기,2024-08-11
213,청원화학,심윤구,화학,경기,2024-08-11
214,태원정공,김준영,기계금속,부산,2024-08-11
215, 씨피에프엘씨리테일,김남일,기타,경기,2024-08-12
216,수정전자산업,홍효준,전기전자,서울,2024-08-12
217,반도이앤티,윤석배,기타,울산,2024-08-12
218,송죽글러브,정선희,섬유,경북,2024-08-12
219,인,황규석,기타,전북,2024-08-12
220,휴메인시스템,권천수,S/W,전북,2024-08-12
221,에이시디,유승석,전기전자,경북,2024-08-12
222,우드뱅크,윤영렬,기타,경기,2024-08-13
223,심스바이오닉스,임신교,전기전자,경기,2024-08-13
224,오성엠앤디,최인준,기계금속,경기,2024-08-13
225, 삼화이엔씨,유광열,기타,충남,2024-08-13
226,코츠테크놀로지,조지원,정보통신,경기,2024-08-13
227,대성금속,정병호,기계금속,경남,2024-08-13
228,유로테크,박청영,기계금속,경남,2024-08-13
229,비에스케이,우한쌍,기계금속,대구,2024-08-13
230,메디플러스솔루션,"배윤정,김상균",S/W,서울,2024-08-15
231,에스엔티,강원순,기계금속,충북,2024-08-15
232,화동뉴텍,이주영,기계금속,강원,2024-08-15
233,제이케이랩스,이준경,전기전자,경기,2024-08-16
234,오케스트로 ,"김민준, 김영광",정보통신,서울,2024-08-16
235,유한회사티엠에스,곽환영,전기전자,전북,2024-08-16
236, 보삼바이오산업,박규리,식품,전남,2024-08-16
237,카프마이크로,이인권,기타,경남,2024-08-16
238,케이디아이에스,권용찬,S/W,서울,2024-08-16
239, 제주전기자동차서비스,장지욱,전기전자,제주,2024-08-16
240,한송우드,왕영득,기타,인천,2024-08-16
241,위시스,이정우,기타,경기,2024-08-16
242,도아드림,"전영환,송옥현",섬유,강원,2024-08-16
243,싸이토피아,장재훈,전기전자,경남,2024-08-16
244,루먼텍,박춘대,정보통신,서울,2024-08-16
245,노란버스,석지현,정보통신,경기,2024-08-17
246,오에스엘이엔지,한수진,건설,서울,2024-08-17
247,제니스코리아,이상민,S/W,경기,2024-08-17
248,더블에프엔비,최인찬,식품,경기,2024-08-17
249,이스트엔드,김동진,기타,서울,2024-08-17
250,파파모빌리티,김영태,S/W,서울,2024-08-17
251, 코아엔지니어링,신규식,전기전자,충남,2024-08-17
252,영신,김성진,건설,경기,2024-08-17
253, 시코,백충원,기타,부산,2024-08-17
254,삼우엔테크,이시연,건설,경북,2024-08-18
255,K.E,강태원,기계금속,대구,2024-08-18
256,대승,백승엽,기계금속,경북,2024-08-18
257,태경산업,김동찬,기타,대구,2024-08-18
258,알엠스 ,이영봉,기타,광주,2024-08-18
259,비트러스트,신대철,S/W,서울,2024-08-18
260,KD기공,최낙경,건설,부산,2024-08-18
261,한국파라마운트,"최윤호,신순주",건설,서울,2024-08-18
262,우신스틸,도병무,기계금속,경북,2024-08-18
263,태성,김종학,기계금속,경기,2024-08-18
264, 중앙카프링,한백술,기계금속,부산,2024-08-18
265,싸이버메딕,정호춘,전기전자,광주,2024-08-18
266,이원다이애그노믹스 ,신상철,바이오,인천,2024-08-19
267,엔클로니,이경호,기타,서울,2024-08-19
268,태화정밀,서명석,기계금속,경남,2024-08-19
269,피닉슨컨트롤스,라기술,전기전자,경기,2024-08-19
270,휴보닉,이귀선,전기전자,강원,2024-08-19
271,영도유리산업,최영주,기타,충북,2024-08-19
272,대신네트웍스,김정곤,S/W,광주,2024-08-19
273,인덕염공,김해용,섬유,대구,2024-08-19
274,원진,"박성진,김창한",기계금속,충북,2024-08-20
275,서궁,송석웅,기계금속,경남,2024-08-20
276,오션,"김길용,김지환",정보통신,경북,2024-08-20
277,이성정밀,노덕균,기계금속,경기,2024-08-20
278,제일메탈테크,곽형훈,기계금속,인천,2024-08-20
279,해라이트,이옥재,서비스,전북,2024-08-20
280,강산이야기영농조합법인,강경채,식품,전남,2024-08-20
281,KTMARINE,박흥수,기타,경남,2024-08-20
282,아바비젼,박재준,정보통신,경기,2024-08-20
283,금성시스템,정하용,전기전자,경북,2024-08-21
284,벡트,유창수,정보통신,서울,2024-08-21
285,씨아이솔루션,최동성,S/W,경기,2024-08-21
286,트리콤미디어,어기호,정보통신,서울,2024-08-21
287,휴비즈아이씨티,심희택,S/W,경북,2024-08-21
288,디에이치디,김기현,정보통신,경기,2024-08-22
289,제이엘인터내셔널,권기영,화학,경기,2024-08-22
290,지비티,전수연,바이오,충북,2024-08-22
291,카텍에이치,정진호,섬유,경기,2024-08-22
292,케이셀,이종성,바이오,서울,2024-08-22
293,카인드아크코리아,정양석,기타,경기,2024-08-22
294, 차오름푸드,김순혁,식품,경기,2024-08-22
295,에다스,박미영,기타,경기,2024-08-22
296,충청환경산업 ,우재숙,기타,세종,2024-08-22
297,금호이엔지,권병수,기계금속,경남,2024-08-23
298,아이피캠프,석욱민,정보통신,경남,2024-08-23
299,BGR메탈,김대수,기계금속,경남,2024-08-23
300,주)오케이팩,정용주,기타,경남,2024-08-23
301, 이도,정인주,서비스,경남,2024-08-23
302,농업회사법인  신광에코팜,김범래,식품,인천,2024-08-23
